segment,t_start_s,t_end_s,n,voltage_compensated_V,std_V
1,529.8,571.8,43,0.3999,0.0013
2,602.8,641.9,40,0.2453,0.0019
3,672.9,709.9,38,0.1758,0.0024
4,736.0,809.0,74,0.1222,0.0023
5,842.1,901.1,60,0.0888,0.0017
6,940.2,991.2,52,0.0614,0.0024
7,1158.4,1169.4,12,1.8383,0.4362
